"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000226887",2246.76873822358,0.644973733375485,0.115210973042572,5.59819708437977,2.1659244465173e-08,3.28053739870418e-07
"ENSG00000289358",418.019772792416,-0.901277981686702,0.161005249706327,-5.59781735894098,2.17067252653628e-08,3.28605575811067e-07
"ENSG00000137962",566.502700475979,0.773905290276112,0.138307193067109,5.59555344240555,2.19919089603693e-08,3.3258429885313e-07
"ENSG00000033100",1653.08569181715,-0.580661906216084,0.103770658679454,-5.59562706458036,2.19825778843401e-08,3.3258429885313e-07
"ENSG00000117461",891.618897532565,-0.694282863205233,0.124100171435824,-5.59453589122774,2.21212706549018e-08,3.34370649477319e-07
"ENSG00000077782",49596.1795030657,0.394797568843497,0.0705821394509553,5.59344859640909,2.22603151733154e-08,3.36301470523419e-07
"ENSG00000255302",9585.58536580922,0.49327161300319,0.0882244698017122,5.59109750516877,2.25638820984952e-08,3.40714619687277e-07
"ENSG00000169855",16329.0080288068,-0.494105836803649,0.0883750913303551,-5.59100793408667,2.25755263949111e-08,3.40717495519747e-07
"ENSG00000119326",6538.03148151647,-0.459863159748306,0.0824432112935791,-5.57793846858706,2.43385709888776e-08,3.67139691281005e-07
"ENSG00000183741",2349.54524417961,0.49016463300315,0.0879038591814561,5.57614463764697,2.45907491435589e-08,3.70755709464495e-07
"ENSG00000122859",27.4197471831679,-4.51941656632052,0.810572259570384,-5.57558750988577,2.4669585395856e-08,3.71755905152244e-07
"ENSG00000058056",2758.39653296474,-0.482058703789348,0.0864811602026904,-5.57414704728199,2.48745564587411e-08,3.74654901761099e-07
"ENSG00000046653",9851.23638052272,-0.443012462422614,0.0794818741246907,-5.57375461136735,2.49306841178629e-08,3.75310253266229e-07
"ENSG00000289162",276.70095321155,-1.12362366240194,0.20159584925044,-5.5736448274095,2.49464078214191e-08,3.75357002257842e-07
"ENSG00000128951",8262.57832297484,-0.529939838402897,0.0951045906708058,-5.5721793728888,2.51572200832961e-08,3.78337626803746e-07
"ENSG00000183837",634.185776524343,0.73834957513096,0.132551148886859,5.57029932468704,2.54302065941662e-08,3.82249800685528e-07
"ENSG00000293475",175.165859167496,1.26282840593142,0.226769959925054,5.56876407416918,2.565525810849e-08,3.85437860077401e-07
"ENSG00000130988",64.4291281679662,-2.15381973379462,0.386883886233525,-5.56709599555295,2.59019716619161e-08,3.88947981336203e-07
"ENSG00000035681",2110.99262612994,-0.578199549634971,0.103863256914614,-5.56693066259525,2.59265499118425e-08,3.891206257455e-07
